,prdtypecode,target
0,10,0
1,2280,1
2,50,2
3,1280,3
4,2705,4
5,2280,1
6,10,0
7,2522,5
8,1280,3
9,2582,6
10,1560,7
11,1560,7
12,1281,8
13,1920,9
14,1560,7
15,2522,5
16,2403,10
17,2522,5
18,1140,11
19,2280,1
20,2583,12
21,1280,3
22,1180,13
23,1140,11
24,1300,14
25,2462,15
26,1280,3
27,2522,5
28,2280,1
29,1160,16
30,2060,17
31,40,18
32,1560,7
33,2522,5
34,40,18
35,2060,17
36,2060,17
37,1281,8
38,1920,9
39,2583,12
40,60,19
41,1180,13
42,2522,5
43,1281,8
44,2280,1
45,1920,9
46,10,0
47,40,18
48,1160,16
49,1280,3
50,40,18
51,2403,10
52,1281,8
53,2583,12
54,2403,10
55,1280,3
56,2705,4
57,2403,10
58,2583,12
59,1300,14
60,1280,3
61,2403,10
62,1320,20
63,1300,14
64,2583,12
65,2583,12
66,1140,11
67,2060,17
68,2280,1
69,2403,10
70,2583,12
71,2462,15
72,1140,11
73,2582,6
74,2403,10
75,2280,1
76,1302,21
77,2060,17
78,1560,7
79,1302,21
80,50,2
81,1300,14
82,2220,22
83,2060,17
84,2583,12
85,1560,7
86,2462,15
87,1560,7
88,1280,3
89,2522,5
90,2583,12
91,2583,12
92,1920,9
93,1280,3
94,2522,5
95,1560,7
96,2403,10
97,2522,5
98,1140,11
99,2060,17
100,2582,6
101,40,18
102,2280,1
103,1920,9
104,1300,14
105,1300,14
106,1180,13
107,40,18
108,2583,12
109,1160,16
110,1140,11
111,2705,4
112,2280,1
113,2403,10
114,1302,21
115,1160,16
116,2583,12
117,2583,12
118,2583,12
119,1560,7
120,1302,21
121,2060,17
122,2403,10
123,2060,17
124,1320,20
125,1302,21
126,1140,11
127,2280,1
128,1280,3
129,2280,1
130,2583,12
131,10,0
132,1560,7
133,1560,7
134,1300,14
135,1281,8
136,1280,3
137,2280,1
138,1320,20
139,2583,12
140,1300,14
141,2705,4
142,40,18
143,1320,20
144,2705,4
145,2583,12
146,1300,14
147,1280,3
148,2905,23
149,2522,5
150,2705,4
151,1280,3
152,2583,12
153,1300,14
154,1180,13
155,1160,16
156,2403,10
157,1920,9
158,1560,7
159,2522,5
160,1140,11
161,2403,10
162,2585,24
163,50,2
164,2705,4
165,50,2
166,2280,1
167,2583,12
168,2060,17
169,2280,1
170,1560,7
171,2583,12
172,1280,3
173,2280,1
174,2583,12
175,2060,17
176,2585,24
177,1920,9
178,2583,12
179,1160,16
180,60,19
181,1300,14
182,1560,7
183,2060,17
184,2583,12
185,1302,21
186,2280,1
187,2060,17
188,10,0
189,2403,10
190,2060,17
191,1320,20
192,2403,10
193,2403,10
194,1560,7
195,40,18
196,1140,11
197,2705,4
198,2522,5
199,1300,14
200,1940,25
201,2583,12
202,1280,3
203,1940,25
204,40,18
205,1920,9
206,2583,12
207,50,2
208,2583,12
209,1280,3
210,2522,5
211,50,2
212,2060,17
213,2060,17
214,1280,3
215,1280,3
216,2060,17
217,2705,4
218,2583,12
219,1300,14
220,1560,7
221,2705,4
222,2280,1
223,1560,7
224,2583,12
225,1160,16
226,1920,9
227,1300,14
228,1160,16
229,1281,8
230,1320,20
231,2522,5
232,2280,1
233,2280,1
234,2583,12
235,1300,14
236,2403,10
237,1300,14
238,2462,15
239,1920,9
240,1160,16
241,2583,12
242,2583,12
243,2522,5
244,2705,4
245,1320,20
246,1302,21
247,10,0
248,2583,12
249,2582,6
250,1920,9
251,1560,7
252,40,18
253,1920,9
254,2522,5
255,2403,10
256,1920,9
257,1301,26
258,10,0
259,10,0
260,2060,17
261,1920,9
262,2705,4
263,1560,7
264,2583,12
265,2583,12
266,2582,6
267,1300,14
268,1920,9
269,1302,21
270,60,19
271,1560,7
272,2585,24
273,1560,7
274,1300,14
275,2585,24
276,1140,11
277,1300,14
278,2522,5
279,1281,8
280,1280,3
281,2582,6
282,40,18
283,2403,10
284,2522,5
285,2280,1
286,2403,10
287,2905,23
288,1160,16
289,1301,26
290,1320,20
291,2403,10
292,1140,11
293,1300,14
294,1302,21
295,1302,21
296,2583,12
297,2522,5
298,2403,10
299,60,19
300,10,0
301,2582,6
302,2582,6
303,1560,7
304,1140,11
305,1560,7
306,1281,8
307,1920,9
308,2522,5
309,1920,9
310,1160,16
311,2060,17
312,2583,12
313,2522,5
314,1320,20
315,1300,14
316,2583,12
317,2583,12
318,2280,1
319,2583,12
320,2220,22
321,1320,20
322,2705,4
323,2060,17
324,2462,15
325,2280,1
326,2583,12
327,1280,3
328,2583,12
329,1320,20
330,1281,8
331,1280,3
332,40,18
333,1280,3
334,1300,14
335,10,0
336,1560,7
337,2060,17
338,2220,22
339,2585,24
340,2060,17
341,50,2
342,2582,6
343,2583,12
344,2583,12
345,2060,17
346,40,18
347,1140,11
348,1300,14
349,1280,3
350,1920,9
351,1300,14
352,2585,24
353,2403,10
354,2220,22
355,2220,22
356,1281,8
357,2583,12
358,1300,14
359,2522,5
360,1300,14
361,1280,3
362,1140,11
363,2705,4
364,1140,11
365,2522,5
366,2462,15
367,1281,8
368,1920,9
369,2522,5
370,1140,11
371,1302,21
372,10,0
373,2280,1
374,2403,10
375,60,19
376,1920,9
377,1560,7
378,2583,12
379,1920,9
380,2280,1
381,1300,14
382,1320,20
383,1320,20
384,2583,12
385,2403,10
386,10,0
387,1560,7
388,2522,5
389,2462,15
390,1140,11
391,10,0
392,2403,10
393,1300,14
394,1320,20
395,1280,3
396,1140,11
397,2522,5
398,2582,6
399,1300,14
400,1281,8
401,2060,17
402,1300,14
403,10,0
404,1281,8
405,2582,6
406,1940,25
407,2582,6
408,1140,11
409,1140,11
410,1300,14
411,2060,17
412,1560,7
413,2585,24
414,2280,1
415,50,2
416,2403,10
417,2403,10
418,1140,11
419,1302,21
420,1920,9
421,40,18
422,40,18
423,2522,5
424,50,2
425,1560,7
426,2583,12
427,1300,14
428,1160,16
429,2585,24
430,2585,24
431,2220,22
432,10,0
433,50,2
434,1560,7
435,2280,1
436,2280,1
437,1560,7
438,2280,1
439,1280,3
440,2403,10
441,1281,8
442,1940,25
443,1160,16
444,1560,7
445,1300,14
446,1920,9
447,1160,16
448,2522,5
449,2462,15
450,1320,20
451,1920,9
452,1560,7
453,1302,21
454,1300,14
455,2280,1
456,2582,6
457,2705,4
458,2403,10
459,1281,8
460,10,0
461,2060,17
462,2060,17
463,2060,17
464,2280,1
465,2403,10
466,1300,14
467,1300,14
468,2585,24
469,1920,9
470,2585,24
471,2060,17
472,2583,12
473,1560,7
474,1140,11
475,2583,12
476,40,18
477,10,0
478,2583,12
479,1280,3
480,2705,4
481,50,2
482,1140,11
483,40,18
484,1280,3
485,1140,11
486,50,2
487,2582,6
488,2220,22
489,2522,5
490,2280,1
491,50,2
492,2585,24
493,2582,6
494,2582,6
495,1280,3
496,1300,14
497,2582,6
498,2583,12
499,2280,1
500,2583,12
501,1281,8
502,1300,14
503,2522,5
504,2583,12
505,1560,7
506,40,18
507,50,2
508,2583,12
509,2585,24
510,2583,12
511,2280,1
512,2403,10
513,10,0
514,2705,4
515,2705,4
516,1300,14
517,2280,1
518,2280,1
519,2280,1
520,1920,9
521,2403,10
522,2583,12
523,2585,24
524,1180,13
525,2705,4
526,2060,17
527,1560,7
528,2705,4
529,50,2
530,60,19
531,1280,3
532,1560,7
533,2583,12
534,2583,12
535,2280,1
536,2585,24
537,1281,8
538,10,0
539,2280,1
540,1560,7
541,2585,24
542,1920,9
543,2220,22
544,1920,9
545,2582,6
546,2403,10
547,2060,17
548,1302,21
549,2403,10
550,2705,4
551,2583,12
552,1280,3
553,2060,17
554,2705,4
555,50,2
556,40,18
557,40,18
558,2583,12
559,2522,5
560,1320,20
561,2585,24
562,2403,10
563,1281,8
564,1302,21
565,2582,6
566,2583,12
567,1280,3
568,1160,16
569,2522,5
570,1300,14
571,1140,11
572,2280,1
573,1560,7
574,2583,12
575,2582,6
576,1302,21
577,1300,14
578,2462,15
579,1302,21
580,10,0
581,2522,5
582,1320,20
583,2060,17
584,2705,4
585,1302,21
586,1160,16
587,1320,20
588,1320,20
589,2462,15
590,2403,10
591,1160,16
592,2403,10
593,2583,12
594,1280,3
595,1920,9
596,2462,15
597,1560,7
598,1280,3
599,2705,4
600,1300,14
601,1300,14
602,2585,24
603,2583,12
604,2705,4
605,2522,5
606,2280,1
607,2583,12
608,1560,7
609,1280,3
610,2583,12
611,2905,23
612,1280,3
613,10,0
614,2060,17
615,1320,20
616,2462,15
617,1302,21
618,2280,1
619,1560,7
620,2403,10
621,2280,1
622,10,0
623,2583,12
624,10,0
625,2462,15
626,1302,21
627,1560,7
628,2705,4
629,2585,24
630,1300,14
631,1320,20
632,2280,1
633,1560,7
634,2522,5
635,2583,12
636,1140,11
637,1280,3
638,2522,5
639,2403,10
640,1300,14
641,2060,17
642,2522,5
643,2522,5
644,1160,16
645,1560,7
646,1160,16
647,2582,6
648,2583,12
649,2582,6
650,2060,17
651,2522,5
652,1920,9
653,2905,23
654,2403,10
655,2583,12
656,10,0
657,1300,14
658,2060,17
659,2583,12
660,2522,5
661,1281,8
662,1281,8
663,1280,3
664,2280,1
665,2585,24
666,1180,13
667,1160,16
668,1302,21
669,40,18
670,1280,3
671,1920,9
672,2905,23
673,1302,21
674,2060,17
675,2403,10
676,2403,10
677,2060,17
678,1281,8
679,50,2
680,2462,15
681,2280,1
682,2280,1
683,2522,5
684,2403,10
685,10,0
686,1160,16
687,1302,21
688,1560,7
689,10,0
690,1560,7
691,2905,23
